2021-09-19 19:11:53,575 INFO  [main] - [org.springframework.context.annotation.AnnotationConfigApplicationContext] - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@757acd7b: startup date [Sun Sep 19 19:11:53 CST 2021]; root of context hierarchy
2021-09-19 19:11:53,760 INFO  [background-preinit] - [org.hibernate.validator.internal.util.Version] - HV000001: Hibernate Validator 5.3.6.Final
2021-09-19 19:11:53,844 INFO  [main] - [org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor] - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2021-09-19 19:11:53,888 INFO  [main] - [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$9ae286e9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-19 19:11:56,359 INFO  [main] - [org.springframework.cloud.config.client.ConfigServicePropertySourceLocator] - Fetching config from server at: http://localhost:8888
2021-09-19 19:11:58,488 WARN  [main] - [org.springframework.cloud.config.client.ConfigServicePropertySourceLocator] - Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/springcloud-sample-provider/default": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
2021-09-19 19:11:58,491 INFO  [main] - [com.bytesvc.provider.main.SampleProviderMain] - No active profile set, falling back to default profiles: default
2021-09-19 19:11:58,512 INFO  [main] - [org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext] - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@21baa903: startup date [Sun Sep 19 19:11:58 CST 2021]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@757acd7b
2021-09-19 19:12:00,124 INFO  [main] - [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [bytetcc-supports-springcloud.xml]
2021-09-19 19:12:00,288 INFO  [main] - [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [bytetcc-disable-tx-advice.xml]
2021-09-19 19:12:00,323 INFO  [main] - [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [bytetcc-supports-springcloud-core.xml]
2021-09-19 19:12:00,380 INFO  [main] - [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [bytetcc-supports-jta.xml]
2021-09-19 19:12:00,457 INFO  [main] - [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [bytetcc-supports-tcc.xml]
2021-09-19 19:12:00,480 INFO  [main] - [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [bytetcc-supports-task.xml]
2021-09-19 19:12:01,461 INFO  [main] - [org.springframework.beans.factory.support.DefaultListableBeanFactory] - Overriding bean definition for bean 'org.springframework.transaction.config.internalTransactionAdvisor' with a different definition: replacing [Root bean: class [org.springframework.transaction.interceptor.BeanFactoryTransactionAttributeSourceAdvisor]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration; factoryMethodName=transactionAdvisor; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/transaction/annotation/ProxyTransactionManagementConfiguration.class]]
2021-09-19 19:12:01,466 INFO  [main] - [org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader] - Skipping bean definition for [BeanMethod:name=transactionalEventListenerFactory,declaringClass=org.springframework.transaction.annotation.AbstractTransactionManagementConfiguration]: a definition for bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory' already exists. This top-level bean definition is considered as an override.
2021-09-19 19:12:02,273 INFO  [main] - [org.springframework.cloud.context.scope.GenericScope] - BeanFactory id=bf0e4787-0cd7-3fc8-89fa-2f4b2de03c63
2021-09-19 19:12:03,962 INFO  [main] - [org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor] - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2021-09-19 19:12:04,072 INFO  [main] - [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0' of type [org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-19 19:12:04,117 INFO  [main] - [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$7ec883ec] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
